##BLOCKS= 1          																															
Plate:	Plate01	1.3	PlateFormat	Spectrum	Fluorescence	TRUE	Raw	FALSE	14			495	560	5			1	24	384	475	Manual	495	Emission Sweep	475	6	Automatic			7	10	None
Wavelength(nm)	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24						
495	23.9																														
																															
																															
																															
																															
																															
		4306.432	4209.361	4718.378	4297.511	3794.981	4211.673	4065.198	4312.241	4092.173	4376.314	4291.197	4633.723	3783.509	4537.288	4488.75	4138.579	4235.329	4417.033	4487.42	4656.56	4053.201	4534.113	4185.674	5607.328						
		4312.313	4567.039	4077.758	4041.474	4363.082	4051.139	4189.504	3765.031	4425.78	4394.021	4663.225	5479.987	4302.986	4517.797	4557.459	5007.43	4853.161	4414.833	4664.595	4171.418	4216.188	4413.99	4495.112	4156.048						
		4858.973	4056.913	4052.469	4281.608	4075.132	4513.2	4882.08	4383.455	4401.042	5275.856	4240.219	4290.464	4267.958	4067.428	4330.505	4496.605	4152.28	4450.367	4526.015	4182.972	5172.27	4501.844	4163.942	4271.644						
		5370.057	3967.287	4376.079	4297.586	4265.016	4065.432	4413.426	4040.436	4312.028	4673.275	4320.305	4334.789	4788.85	3849.664	3982.081	4688.052	4668.332	4018.272	4089.4	4303.719	7961.397	7679.815	4265.097	4374.902						
		4960.876	4277.681	7006.562	7032.323	3948.479	4982.934	3999.901	4527.097	4397.566	5176.24	4290.884	4788.385	7132.753	7014.358	5752.714	5595.277	5808.814	4281.115	3945.312	4313.522	5225.017	4728.818	7876.982	7323.458						
		4513.186	4278.135	4264.845	3970.477	3865.057	4383.327	7386.575	7881.784	4081.826	4986.308	7755.9	7467.629	4551.295	4535.586	7384.193	5842.313	7578.007	5654.27	7764.026	7758.201	4908.79	4493.854	4844.818	5035.079						
		5500.044	5142.888	4963.831	4967.449	6472.34	6162.019	5415.816	4749.477	6755.604	7344.704	4668.268	4787.474	6446.01	5322.102	5772.764	5046.375	9833.48	7249.695	4364.337	4518.292	4361.495	5722.207	5127.11	4552.103						
																															
520	23.9																														
																															
																															
																															
																															
																															
		3959.996	3483.422	3431.036	3820.392	4343.707	3631.093	3982.798	4153.475	4208.26	3710.318	3870.941	3848.874	3852.611	3603.827	3519.896	3961.681	4025.767	4058.286	3740.216	3618.612	3862.176	4194.071	4209.953	4269.58						
		3974.242	3406.979	3639.559	3441.681	3666.842	3980.266	3995.04	4161.322	4000.631	3883.455	4536.684	3810.152	4250.452	3398.081	4227.132	4096.58	3852.721	3685.102	4032.708	4123.913	3418.78	3585.974	3700.491	3842.206						
		3777.833	3507.576	3746.18	3757.45	3544.011	3746.72	3961.49	4003.407	4477.402	3870.065	3675.777	4293.047	4243.077	3922.323	3555.549	4425.622	4108.324	5367.087	4392.242	3982.728	4118.444	3766.172	3794.983	4055.53						
		3582.444	3057.082	3457.137	3566.669	3885.489	3540.712	3786.985	3889.265	4048.924	3530.452	3539.182	4137.108	4274.318	3792.553	3891.91	4181.999	3955.185	4163.543	3430.027	3562.72	4045.67	3919.387	4073.302	4877.114						
