##BLOCKS= 1          																															
Plate:	Plate01	1.3	PlateFormat	Spectrum	Fluorescence	TRUE	Raw	FALSE	22			455	560	5			13	12	384	414	Manual	455	Emission Sweep	414	6	Automatic			12	5	None
Wavelength(nm)	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24						
455	24.2																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														861458.813	887834.375	843921.75	812391.937	721298.937	686799.75	654490.062	559316.313	544253.937	366804.156	262692.719	101941.023						
														1358300	1377923.375	1340107.375	1316888.125	1197154.625	1165270.25	1081937.125	1029275.375	702574.625	563707.875	392821.594	189319.234						
														1855501.125	1886145.875	1879408	1879278.875	1748975.625	1611150.625	1501157.375	1439920.25	1070000	798692.813	517372.219	326088.344						
														2275230.5	2285796.25	2253596	2249866	1945114.5	1877631.625	1671322.875	1545859.5	1298287.25	1007595.812	641498.125	404517						
														2496263.75	2475969	2399819.25	2313051	2183269.25	1825756	1761417.75	1590783.25	1372677.25	1112404	644464.062	470683.437						
																															
540	23.9																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														742676.5	754891.187	720649.625	685581.5	598370.812	579413.625	550288.938	472475.063	442652.5	303242.219	215891.313	85026.711						
														1170062.25	1174642.25	1150557.125	1111209.125	1011219.312	986922.25	914118.875	862698.937	583214.312	468603.969	317020.063	155142.047						
														1602565.125	1619384.5	1604789	1589699.75	1480917.625	1365165.25	1273900.125	1212076.25	874256.438	658005	426606.969	277194.281						
														1965358	1981353.875	1953491	1900168.125	1667339.25	1602208.25	1422091	1299776.5	1079258	838859.375	535149.5	339335.875						
														2173742.5	2153598.25	2080760	1982675	1879034	1554453.375	1507913.125	1333511.625	1147111.5	923038.688	528868	403065.375						
																															
545	23.9																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														580478.687	590334.125	552814.562	528682.625	465881.406	444402.156	422782.094	363948.375	348568.906	233880.859	164082.953	68174.648						
														919913.5	907764.75	886638.5	872087.625	786088.875	761577.75	706062.25	684655.688	446891.813	363246.156	254369.875	127285.195						
														1270145.625	1274636	1264756.625	1249497.125	1179378.75	1054079.75	993670.5	933392.063	690676.25	509927.094	338812.219	226728.547						
														1569058	1573705.5	1540553.75	1514486.375	1299634.125	1242011.125	1108257.375	1000749.312	846967	660208.188	423431.531	281361.719						
														1743171.625	1719837.5	1640151.375	1578183.875	1498219.375	1221050.625	1175189.375	1049671.25	887320.438	723706.875	433313.125	335198.063						
																															
550	23.9																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														487162	501545.375	463785.156	444268.687	392887.875	374159.25	359006.25	299425.281	292036.875	198483.219	140445.516	62098.809						
														771831.625	765329.375	745509.625	719902.187	659193.75	650253.375	588704.312	556879.875	381573.5	308907.531	211923.344	110825.937						
														1075552.875	1067416.875	1059348.5	1054547.125	970981.812	903495.188	829097.188	782662.25	582183.75	432351.812	291242.937	197997.953						
														1324366.75	1322180.5	1300136.375	1278622.25	1104386.75	1060608.875	939102.438	849857	713511.937	553699.062	363468.375	242576.219						
